Nicobars,Andaman and Nicobar Islands,Green
North and Middle Andaman,Andaman and Nicobar Islands,Green
South Andaman,Andaman and Nicobar Islands,Red
Anantapur,Andhra Pradesh,Orange
Chittoor,Andhra Pradesh,Red
East Godavari,Andhra Pradesh,Orange
Guntur,Andhra Pradesh,Red
Krishna,Andhra Pradesh,Red
Kurnool,Andhra Pradesh,Red
Prakasam,Andhra Pradesh,Orange
Spsr Nellore,Andhra Pradesh,Red
Srikakulam,Andhra Pradesh,Orange
Visakhapatanam,Andhra Pradesh,Orange
Vizianagaram,Andhra Pradesh,Green
West Godavari,Andhra Pradesh,Orange
Y.S.R.,Andhra Pradesh,Orange
Anjaw,Arunachal Pradesh,Green
Changlang,Arunachal Pradesh,Green
Dibang Valley,Arunachal Pradesh,Green
East Kameng,Arunachal Pradesh,Green
East Siang,Arunachal Pradesh,Green
Kamle,Arunachal Pradesh,Green
KraDaadi,Arunachal Pradesh,Green
KurungKumey,Arunachal Pradesh,Green
Leparada,Arunachal Pradesh,Green
Lohit,Arunachal Pradesh,Green
Longding,Arunachal Pradesh,Green
Lower Dibang Valley,Arunachal Pradesh,Green
Lower Siang,Arunachal Pradesh,Green
Lower Subansiri,Arunachal Pradesh,Green
Namsai,Arunachal Pradesh,Green
PakkeKessang,Arunachal Pradesh,Green
Papum Pare,Arunachal Pradesh,Green
Shi Yomi,Arunachal Pradesh,Green
Siang,Arunachal Pradesh,Green
Tawang,Arunachal Pradesh,Green
Tirap,Arunachal Pradesh,Green
Upper Siang,Arunachal Pradesh,Green
Upper Subansiri,Arunachal Pradesh,Green
West Kameng,Arunachal Pradesh,Green
West Siang,Arunachal Pradesh,Green
Baksa,Assam,Green
Barpeta,Assam,Green
Biswanath,Assam,Green
Bongaigaon,Assam,Green
Cachar,Assam,Green
Charaideo,Assam,Green
Chirang,Assam,Green
Darrang,Assam,Green
Dhemaji,Assam,Green
Dhubri,Assam,Orange
Dibrugarh,Assam,Green
Dima Hasao,Assam,Green
Goalpara,Assam,Orange
Golaghat,Assam,Green
Hailakandi,Assam,Green
Hojai,Assam,Green
Jorhat,Assam,Green
Kamrup,Assam,Green
Kamrup Metropolitan,Assam,Green
Karbi Anglong,Assam,Green
Karimganj,Assam,Green
Kokrajhar,Assam,Green
Lakhimpur,Assam,Green
Majuli,Assam,Green
Morigaon,Assam,Orange
Nagaon,Assam,Green
Nalbari,Assam,Green
Sivasagar,Assam,Green
Sonitpur,Assam,Green
South SalmaraMancachar,Assam,Green
Tinsukia,Assam,Green
Udalguri,Assam,Green
West KarbiAnglong,Assam,Green
Araria,Bihar,Green
Arwal,Bihar,Orange
Aurangabad,Bihar,Orange
Banka,Bihar,Orange
Begusarai,Bihar,Orange
Bhagalpur,Bihar,Orange
Bhojpur,Bihar,Orange
Buxar,Bihar,Red
Darbhanga,Bihar,Orange
Gaya,Bihar,Red
Gopalganj,Bihar,Orange
Jamui,Bihar,Green
Jehanabad,Bihar,Orange
Kaimur (Bhabua),Bihar,Orange
Katihar,Bihar,Green
Khagaria,Bihar,Green
Kishanganj,Bihar,Green
Lakhisarai,Bihar,Orange
Madhepura,Bihar,Orange
Madhubani,Bihar,Orange
Munger,Bihar,Red
Muzaffarpur,Bihar,Green
Nalanda,Bihar,Orange
Nawada,Bihar,Orange
West Champaran,Bihar,Green
Patna,Bihar,Red
East Champaran,Bihar,Orange
Purnia,Bihar,Orange
Rohtas,Bihar,Red
Saharsa,Bihar,Green
Samastipur,Bihar,Green
Saran,Bihar,Orange
Sheikhpura,Bihar,Green
Sheohar,Bihar,Green
Sitamarhi,Bihar,Green
Siwan,Bihar,Orange
Supaul,Bihar,Green
Vaishali,Bihar,Orange
Chandigarh,Chandigarh,Red
Balod,Chhattisgarh,Green
Baloda Bazar,Chhattisgarh,Green
Balrampur,Chhattisgarh,Green
Bastar,Chhattisgarh,Green
Bemetara,Chhattisgarh,Green
Bijapur,Chhattisgarh,Green
Bilaspur,Chhattisgarh,Green
Dakshin Bastar Dantewada,Chhattisgarh,Green
Dhamtari,Chhattisgarh,Green
Durg,Chhattisgarh,Green
Gariyaband,Chhattisgarh,Green
Janjgir Champa,Chhattisgarh,Green
Jashpur,Chhattisgarh,Green
Kabeerdham,Chhattisgarh,Green
Uttar Bastar Kanker,Chhattisgarh,Green
Kondagaon,Chhattisgarh,Green
Korba,Chhattisgarh,Orange
Koriya,Chhattisgarh,Green
Mahasamund,Chhattisgarh,Green
Mungeli,Chhattisgarh,Green
Narayanpur,Chhattisgarh,Green
Raigarh,Chhattisgarh,Green
Raipur,Chhattisgarh,Red
Rajnandgaon,Chhattisgarh,Green
Sukma,Chhattisgarh,Green
Surajpur,Chhattisgarh,Green
Surguja,Chhattisgarh,Green
Dadra And Nagar Haveli,Dadra And Nagar Haveli,Green
Daman,Daman And Diu,Green
Diu,Daman And Diu,Green
Central,Delhi,Red
East,Delhi,Red
New Delhi,Delhi,Red
North,Delhi,Red
North East,Delhi,Red
North West Delhi,Delhi,Red
Shahdara,Delhi,Red
South,Delhi,Red
South East,Delhi,Red
South West,Delhi,Red
West,Delhi,Red
North Goa,Goa,Green
South Goa,Goa,Green
Ahmedabad,Gujarat,Red
Amreli,Gujarat,Green
Anand,Gujarat,Red
Arvalli,Gujarat,Red
Banas Kantha,Gujarat,Red
Bharuch,Gujarat,Orange
Bhavnagar,Gujarat,Red
Botad,Gujarat,Orange
Chhotaudepur,Gujarat,Orange
Dang,Gujarat,Orange
DevbhumiDwarka,Gujarat,Green
Dohad,Gujarat,Orange
Gandhinagar,Gujarat,Red
GirSomnath,Gujarat,Orange
Jamnagar,Gujarat,Orange
Junagadh,Gujarat,Green
Kachchh,Gujarat,Orange
Kheda,Gujarat,Orange
Mahesana,Gujarat,Orange
Mahisagar,Gujarat,Orange
Morbi,Gujarat,Green
Narmada,Gujarat,Orange
Navsari,Gujarat,Orange
Panchmahal,Gujarat,Red
Patan,Gujarat,Orange
Porbandar,Gujarat,Green
Rajkot,Gujarat,Orange
SabarKantha,Gujarat,Orange
Surat,Gujarat,Red
Surendranagar,Gujarat,Orange
Tapi,Gujarat,Orange
Vadodara,Gujarat,Red
Valsad,Gujarat,Orange
Ambala,Haryana,Orange
Bhiwani,Haryana,Orange
CharkiDadri,Haryana,Orange
Faridabad,Haryana,Red
Fatehabad,Haryana,Orange
Gurugram,Haryana,Orange
Hisar,Haryana,Orange
Jhajjar,Haryana,Orange
Jind,Haryana,Orange
Kaithal,Haryana,Orange
Karnal,Haryana,Orange
Kurukshetra,Haryana,Orange
Mahendragarh,Haryana,Green
Nuh,Haryana,Orange
Palwal,Haryana,Orange
Panchkula,Haryana,Orange
Panipat,Haryana,Orange
Rewari,Haryana,Green
Rohtak,Haryana,Orange
